,10. 10мВт.csv,11. 25мВт.csv,12. 50мВт.csv,17. контроль АЛА+.csv,19. контроль АЛА -.csv,1_1 А контроль АЛА 75мВт.csv,3_1 В 3мВт.csv,3_2 В 5мВт.csv,9. 15мВт.csv
0,145060176958.40143,3380956334.7001004,68596637248.47316,1659074877426.881,55727025217.7639,1572461585195.5188,388155827924.8934,55908592807.42628,220901281909.95087
1,2773128466.341628,55720761561.41036,381274507946.2284,553447887268.2129,31467811457.72665,1341374852693.3792,518642840729.778,68502962264.54896,42331656658.8293
2,129577315363.46391,9267904186.482727,251216083497.46896,233131048962.32703,145811555014.3061,83479950886.28513,17124008001.157211,65422724472.42927,60723550811.08096
3,80744019976.89421,73135023406.81819,24685859357.663765,337887004545.775,208043616443.0332,206293025712.55115,167261108825.61124,349478502996.6347,199384963433.62683
4,147694200949.08487,7637121962.956993,97895112665.9558,62598756844.617966,90558289684.62949,583097447470.7131,124252537749.10138,149569451872.76505,603364319461.9094
5,284813257925.9321,11686045339.052555,311082976356.9141,45871701321.85386,9653409765.118511,792021285130.7231,69820311646.82402,5897671472.766691,259185117741.39005
6,58775402305.49631,12387933713.875843,82995479642.39232,345793331261.83136,28836204283.42255,72302464872.34358,118232410411.92863,20078319501.18842,22193605905.29713
7,46022138606.07938,281507666686.2338,92785131812.4416,651107056921.9727,340791779489.2836,81151228212.24702,205502671960.54333,26661587392.747463,39208892410.09792
8,63072530930.9483,38582812785.4631,85157517195.25003,1862221806084.8325,200761263225.92584,77571560799.7424,37902040147.3751,73334597407.28648,62933290155.19776
9,400733021.491448,63468194653.56508,122138190362.65274,1425272825444.2097,326327339700.166,36314341802.97267,5392097345.248564,46627617973.782974,692718255680.844
10,645597193356.5197,13275178339.107431,163903143514.99826,598293929616.54,31252540847.51336,92236827766.67096,3854810808.606485,30423005077.450253,192163841958.64377
11,1242799388930.6775,19579971125.78734,3099933960.82857,946762760907.6165,195924748120.69745,251187261874.84216,34471315209.77619,55108057036.81791,379878051242.684
12,5533823053.321022,10794095318.739788,103309949257.35194,647980052129.5114,296385129654.0054,135903294351.05042,26127179348.147377,16729707602.256924,28005908624.521786
13,5892076142.22262,9142825146.536907,90919870392.66216,893164835210.3907,128199910712.49593,180945418735.5499,106989175837.79865,717332578449.7578,648237226325.3744
14,3178337032.7868023,8504052174.0890045,164628679796.1653,1529547711593.8342,2861436698997.884,83265049214.82042,17167489349.412603,285607296714.3039,89994206191.31924
15,91212397630.14282,19200241309.65742,375087797199.33057,98354024796.98784,237764720988.6349,290426849683.4395,51117096705.21867,257969241436.79825,259819768968.69693
16,199018073675.4352,62134853331.56842,112732482534.72232,310623187119.7849,194854951141.28763,208974556842.3697,73242875417.67557,165034351312.93503,129635147762.25037
17,3643462235.249621,119253942251.58292,105129566691.11218,820557480943.6084,315060306586.30774,78257447120.23212,53968016154.16629,222511538839.784,146101384673.2743
18,19335915966.03276,60165185963.49839,287161207920.82684,555954703961.6454,27603051185.051266,895837175001.9159,68371396505.27759,921377448267.8434,110204758111.93877
19,9561550103.444715,39780092315.9363,153609030876.23553,280283164549.9301,2323054360627.2183,36491473881.31625,3590898675.947156,224951881560.71567,249279662793.93945
20,45501167772.95833,123369737093.73569,175133932968.0376,368357899631.8691,370207340720.798,724525563529.077,35456581628.46596,992268882630.3884,435886332071.9759
21,1302261289.2170105,24488903439.630123,32126939158.400623,563888113816.8016,96844242062.845,316058312829.7393,173130324197.86887,55565616640.37902,840930572971.426
22,6165516925.090529,74514733208.22444,81390375501.49475,154501154112.73413,150857177612.7809,48887792941.23224,161487731335.7161,38874486811.29921,365945037448.1636
23,866707889.0734736,161061919699.2167,113547392217.8734,1906222630396.714,153840716515.08362,169608625689.71753,45221979156.97282,540846443568.9048,170568457126.69278
24,6014182817.705481,1267089829415.9712,202548447467.57227,782825511430.5023,1377111963534.603,78500371248.60971,46689976992.56339,95101918383.57228,243104704695.56244
25,5288523879.57485,1059337179255.8997,2175616717.540749,463819576996.03577,535859398620.3408,71604671148.27223,64546562265.15456,23754506934.74841,179552513415.61792
26,10589358323.663515,328660936961.6163,45876079904.57389,795217992415.4009,21263280506.020405,155545963262.84915,112557338223.05458,888206947635.4344,674359664108.3767
27,5551572468.14302,187122394149.2868,175150163525.83432,123670311257.7963,584640047888.7302,613963322092.3638,45948808500.90128,291577852980.0145,203441501622.37387
28,24486106072.69568,11324500962.363768,875057018974.0858,381250831590.0343,607814797855.9781,223560213921.74207,539330761521.50073,273327792401.2143,187604033499.49887
29,8826520498.065664,59589476782.49596,622826733774.4445,470999476244.2251,122417707734.518,142157671624.18225,259317938945.70297,233790966111.287,34840862470.9478
30,306555862540.5291,44322218119.66285,48869380603.668304,1059062246478.8948,75450935576.66318,140498347990.19952,800666529579.9486,15402561608.904306,15487493761.363894
31,24543915655.755127,42293013779.38102,272215670367.3096,128131487923.29771,61742398028.30438,279266458166.13025,302115586581.68445,220081050449.21228,7741704985.697845
32,12262726981.545193,14988921218.248184,329309349524.8756,524054657968.5706,492843545435.0954,1194113236790.7195,342506577948.8538,115908841787.30928,10430694929.433483
33,40124901549.38443,100688643847.5406,664519938692.9203,17402486482.016373,35558425142.975685,607143130176.9684,498648118295.4544,131666331177.02664,48969014060.47828
34,2638431495.365416,86852035988.13225,208059430826.11697,229209854575.6008,310961566554.44714,453988209433.6097,363661661611.7769,1159595160967.6123,151956928538.77515
35,41691321701.7476,88980110652.93065,200178226443.0233,3882215721667.876,3549200781812.509,152791059535.706,530281328295.332,327825878672.3093,180590424983.72977
36,41031926603.03617,101248560827.15344,57600931901.102646,20160706019.221306,3091914610681.928,110162546250.34656,35162453527.92443,210149634214.3207,464353998020.8355
37,146170361261.48032,8577341549.318543,132292408912.71936,6934334761.802522,1629003888775.751,325675563633.81244,88967384128.4471,87873789118.20305,422917577611.9486
38,38384854253.6065,42363495186.22604,87898048183.30882,230921791377.39737,150919959684.0055,340857693991.54553,49734252028.00211,87707753812.75008,25441892407.13553
39,34339813709.49639,73017679415.22623,151490090162.85843,44665175605.94207,1304583662522.932,429249896420.6796,593372496828.4935,384126071515.388,125288657985.79771
40,80445907578.65004,693762523411.4918,96242239860.07793,211832076987.42844,1483994532686.636,463491688726.4449,70724239851.1147,221277062958.938,203836325823.8282
