,10. 10мВт.csv,11. 25мВт.csv,12. 50мВт.csv,17. контроль АЛА+.csv,19. контроль АЛА -.csv,1_1 А контроль АЛА 75мВт.csv,3_1 В 3мВт.csv,3_2 В 5мВт.csv,9. 15мВт.csv
0,-659136418.4972652,-22538559.93688892,-584942802.8956023,-3998132785.961204,-78600040.4307341,-3815209927.288285,-711059821.024191,-416427489.56820977,-1321090075.041929
1,10113356.867392885,-228734754.98234192,-2241997447.3518653,-909698526.5585532,-174238319.6545869,-2212558680.296577,-1894428376.685993,-199149220.9739389,-216817848.3446425
2,-705316662.0035924,-9576208.848576168,-1028164939.8523964,-447464029.9639432,-68893077.50876428,-318868738.784638,5694062.020512136,-539891751.0310352,-152948769.7034644
3,-394417366.4905439,-397839340.5775046,-104909584.4828879,-1310452172.607344,-671781900.6935468,-455884439.4757826,-777303295.8208572,-1151263854.4122674,-522128202.692436
4,-883566986.3657241,-5918156.925653785,341195523.70968395,-83596427.32082757,24100942.396152355,-1053653799.6859684,-671718556.8204737,-551765208.5792332,-2152582609.949468
5,-836697636.6859114,-106188416.2689552,-1353401712.7623017,-89928604.74059975,-103231018.41894194,-2380425349.6877856,-537197701.6020411,-90357832.13077396,-910889206.6930376
6,-541757004.8991523,-81593144.8342133,11678005.471799094,-1001571619.6103996,-12734008.165721368,-405833141.7115115,-499938780.39359766,-125939183.44970933,-126633075.35360909
7,-185375957.14545283,-923331454.3409104,-333359749.50483227,-2830647793.74022,-401101725.92745787,-105431036.84906144,-1214755199.1380632,-141877876.40356168,-225569307.73824635
8,-458778803.7820279,-319594190.03507483,3626132.5119951377,-5235603231.785581,-653450513.6374375,41239384.05070146,-231586439.6387441,-253792958.83743453,-63739022.95514598
9,-13178825.201274194,-430559895.12237805,-280560124.4053015,-4998016956.011092,-280078769.22547,-139815616.43333018,-11821757.366118552,-70703676.2570136,-2387766599.5323668
10,-1155047267.1517618,-32848242.454954326,-494753862.25704473,-933705559.3765996,-87525144.36631526,407009133.07531047,-53414354.68760253,-24758280.26458599,-336901077.32547885
11,-4610231686.340583,-1188090.9258622706,-49071222.6178381,-2859093492.881808,-449462362.3692976,-825937863.5354187,-113190880.50926432,-335718452.6053522,-265534505.8679198
12,-65289210.69624461,39635479.99357761,-478296888.5155633,-1048489825.7385684,-444544991.2588295,-286555534.4593988,-102024020.39319883,-77842725.675971,-183305960.9017649
13,-35871457.083608046,-52842388.41960813,-565638901.065309,-1793513366.6590014,-577868900.0292119,-355146407.90790224,-564352372.2332773,-1123081281.966856,-2481794639.439715
14,7856671.435621445,-25936053.52851517,-1206972762.0662367,-2798035704.299728,2211922490.465981,-234177044.7263209,-106403014.06729004,-1331928378.4440532,-156502665.63658032
15,-498220004.2244152,-144216227.3375149,-1745342315.454211,-417394738.56695,-30236476.00632429,-719113054.3812436,-252731601.0777124,-983684835.2522604,-939841556.46988
16,-927702811.8171653,-520440970.6807947,-338196254.685827,-1126906052.292452,-411825674.14408296,-1121712090.5594878,-117428552.70338804,-167848883.5032459,142980598.3488135
17,-14396373.260680238,100104671.98111962,-89861786.509072,-2281369900.9066334,-741592371.6897225,-362388783.7551493,-362962020.6091616,-826998452.9588054,-423389942.8665268
18,-101149234.4531392,-240130460.5330225,-1608595952.8336194,-869889014.1999885,-9670806.238497384,-2364713170.826432,-293423987.04697406,-3578257246.275523,-499723931.9162312
19,-5821749.35475609,-358280316.2306628,-732451313.8071637,-1294704452.778749,-3801071999.477407,-167541393.33467707,7673330.963984429,-889109575.3672235,-383129744.217199
20,-228818300.0339505,-789035528.6136638,-1103595389.584679,-897613064.4438452,-866981472.4228086,-1198355852.3912652,-110557428.77318676,-1673307722.095986,-968022810.954698
21,-10976344.243571945,-141564059.18371752,-25010102.154563576,-1673546176.034021,-566383074.554006,-852068477.7981783,-605108102.3505719,-249373158.32343856,-1970390517.142929
22,-115359710.32807766,-147427835.82159945,-595603211.2870747,-453724924.7466773,305949700.5166134,-134701713.98173383,-467844086.99451554,-157361433.92532384,-516390908.6999298
23,683394.4925436995,-644486313.5705233,-202458531.13631195,-3001494152.32354,192480522.5061461,-708033005.8887306,-343230382.25610805,-1932802580.1180449,-315328149.9192859
24,61057911.386293694,-4251179439.467932,-1038060153.1019484,-2941008444.326154,-4230059822.9110937,-319836549.5889585,-120193756.37359548,-348991358.14281315,-732131223.908347
25,-44913097.244354494,587963414.7289844,-417747.9332705454,-1396131724.1674864,-2530944862.544118,-415440298.9926224,-193801040.93431577,-78874044.28609312,-578149352.7474556
26,-124089486.71380427,-1668523311.4001384,-422386219.1147065,-3601186407.898554,84784950.99737881,-301590010.8199289,72814919.54685685,-1447176874.2565784,301581330.9891316
27,-82562213.28581633,-66127845.84624151,-1041778196.299084,87185398.17218252,-75451525.12483107,-1395398725.790799,-219483321.90959293,-755773647.061484,-81177879.96451175
28,-261362772.4608181,-99567011.29984166,-3191457927.2769647,-1291567121.919061,-1859168668.98554,-1048237380.3690878,-682320348.8279375,-1298723404.1271362,-97917124.23561852
29,-135841272.4660625,-475367986.8051124,-2019778469.680191,-1394231949.381797,-142276400.95457438,-382745025.1998417,-646320286.5618947,-871435233.6658233,3739451.242172789
